hcpcs_code,payment_rate,description
0067U,1897.0,Onc brst imhchem prfl 4 bmrk
0068U,142.63,Candida species pnl amp prb
0069U,380.0,Onc clrct microrna mir-31-3p
0070U,676.37,Cyp2d6 gen com&slct rar vrnt
0071U,600.0,Cyp2d6 full gene sequence
0072U,450.91,Cyp2d6 gen cyp2d6-2d7 hybrid
0073U,450.91,Cyp2d6 gen cyp2d7-2d6 hybrid
0074U,450.91,Cyp2d6 nonduplicated gene
0075U,450.91,Cyp2d6 5' gene dup/mlt
0076U,450.91,Cyp2d6 3' gene dup/mlt
0077U,43.43,Ig paraprotein qual bld/ur
0080U,3520.0,Onc lng 5 clin rsk factr alg
0082U,246.92,Rx test def 90+ rx/sbsts ur
0083U,167.35,Onc rspse chemo cntrst tomog
0084U,720.0,Rbc dna gnotyp 10 bld groups
0086U,200.0,Nfct ds bact&fng org id 6+
0087U,3159.42,Crd hrt trnspl mrna 1283 gen
0088U,3159.42,Trnsplj kdn algrft rej 1494
0089U,760.0,Onc mlnma prame & linc00518
0090U,1950.0,Onc cutan mlnma mrna 23 gene
0092U,2488.0,Onc lng 3 prtn bmrk plsm alg
0093U,62.14,Rx mntr 65 com drugs urine
0094U,7582.2,Genome rapid sequence alys
0095U,771.98,Ee 2 prtn bmrk elisa est
0096U,35.09,Hpv hi risk types male urine
0101U,1743.95,Hered colon ca do 15 genes
0102U,1303.95,Hered brst ca rltd do 17 gen
0103U,1743.95,Hered ova ca pnl 24 genes
0105U,950.0,Neph ckd mult eclia tum nec
0106U,874.49,Gstr emptg 7 timed brth spec
0107U,16.0,C diff tox ag detcj ia stool
0108U,4950.0,Gi barrett esoph 9 prtn bmrk
0109U,142.63,Id aspergillus dna 4 species
0110U,27.11,Rx mntr 1+oral onc rx&sbsts
0111U,682.29,Onc colon ca kras&nras alys
0112U,356.13,Iadi 16s&18s rrna genes
0113U,760.0,Onc prst8 pca3&tmprss2-erg
0114U,1938.01,Gi barretts esoph vim&ccna1
0115U,275.35,Respir iadna 18 viral&2 bact
0116U,246.92,Rx mntr nzm ia 35+oral flu
0117U,840.65,Pain mgmt 11 endogenous anal
0118U,2753.25,Trnsplj don-drv cll-fr dna
0119U,83.76,Crd ceramides liq chrom plsm
0120U,2510.21,Onc b cll lymphm mrna 58 gen
0121U,509.2,Sc dis vcam-1 whole blood
0122U,526.23,Sc dis p-selectin whl blood
0123U,357.63,Mchnl fragility rbc prflg
0129U,1303.95,Hered brst ca rltd do panel
0130U,584.9,Hered colon ca do mrna pnl
0133U,690.29,Hered prst8 ca rltd do 11
0134U,748.39,Hered pan ca mrna pnl 18 gen
0136U,407.43,Atm mrna seq alys
0137U,282.88,Palb2 mrna seq alys
0138U,468.33,Brca1 brca2 mrna seq alys
0140U,156.75,Nfct ds fungi dna 15 trgt
0141U,156.75,Nfct ds bact&fng gram pos
0142U,156.75,Nfct ds bact&fng gram neg
0152U,2126.2,Nfct ds dna untrgt ngnrj seq
0153U,3159.42,Onc breast mrna 101 genes
0154U,482.14,Onc urthl ca rna fgfr3 gene
0155U,274.83,Onc brst ca dna pik3ca gene
0156U,1740.0,Copy number sequence alys
0157U,282.88,Apc mrna seq alys
0158U,282.88,Mlh1 mrna seq alys
0159U,282.88,Msh2 mrna seq alys
0160U,282.88,Msh6 mrna seq alys
0161U,282.88,Pms2 mrna seq alys
0162U,486.54,Hered colon ca trgt mrna pnl
0163U,390.75,Onc clrct scr 3 prtn alg
0164U,112.02,Gi ibs ia anti-cdtb&vinculin
0165U,463.76,Peanut allg asmt epi
0166U,503.4,Liver ds 10 biochem asy srm
0169U,466.17,Nudt15&tpmt gene com vrnt
0170U,1950.0,Neuro asd rna next gen seq
0171U,1519.06,Trgt gen seq alys pnl dna 23
0172U,3030.0,Onc sld tum alys brca1 brca2
0173U,466.17,Psyc gen alys panel 14 genes
0174U,1305.37,Onc solid tumor 30 prtn trgt
0175U,1336.09,Psyc gen alys panel 15 genes
0176U,64.19,Cdtb&vinculin igg antb ia
0177U,274.83,Onc brst ca dna pik3ca 11
0178U,459.86,Peanut allg asmt epi clin rx
0179U,1943.21,Onc nonsm cll lng ca alys 23
0180U,274.83,Abo gnotyp abo 7 exons
0181U,185.2,Co gnotyp aqp1 exon 1
0182U,301.35,Crom gnotyp cd55 exons 1-10
0183U,185.2,Di gnotyp slc4a1 exon 19
0184U,185.2,Do gnotyp art4 exon 2
0185U,185.2,Fut1 gnotyp fut1 exon 4
0186U,185.2,Fut2 gnotyp fut2 exon 2
0187U,274.83,Fy gnotyp ackr1 exons 1-2
0188U,274.83,Ge gnotyp gypc exons 1-4
0189U,274.83,Gypa gnotyp ntrns 1 5 exon 2
0190U,274.83,Gypb gnotyp ntrns 1 5 seux 3
0191U,274.83,In gnotyp cd44 exons 2 3 6
0192U,274.83,Jk gnotyp slc14a1 exon 9
0193U,282.88,Jr gnotyp abcg2 exons 2-26
0194U,185.2,Kel gnotyp kel exon 8
0195U,375.25,Klf1 targeted sequencing
0196U,185.2,Lu gnotyp bcam exon 3
0197U,185.2,Lw gnotyp icam4 exon 1
0198U,282.88,Rhd&rhce gntyp rhd1-10&rhce5
0199U,274.83,Sc gnotyp ermap exons 4 12
0200U,274.83,Xk gnotyp xk exons 1-3
0201U,185.2,Yt gnotyp ache exon 2
0202U,416.78,Nfct ds 22 trgt sars-cov-2
0203U,760.0,Ai ibd mrna xprsn prfl 17
0205U,47.0,Oph amd alys 3 gene variants
0206U,2215.4,Neuro alzheimer cell aggregj
0207U,511.2,Neuro alzheimer quan imaging
0209U,787.15,Cytog const alys interrog
0210U,18.63,Syphilis tst antb ia quan
0211U,8455.0,Onc pan-tum dna&rna gnrj seq
0212U,5475.2,Rare ds gen dna alys proband
0213U,2709.95,Rare ds gen dna alys ea comp
0214U,5224.6,Rare ds xom dna alys proband
0215U,2574.65,Rare ds xom dna alys ea comp
0216U,1537.02,Neuro inh ataxia dna 12 com
0217U,2198.35,Neuro inh ataxia dna 51 gene
0218U,2279.0,Neuro musc dys dmd seq alys
0219U,725.0,Nfct agt hiv gnrj seq alys
0220U,706.25,Onc brst ca ai assmt 12 feat
0221U,274.83,Abo gnotyp next gnrj seq abo
0222U,282.88,Rhd&rhce gntyp next gnrj seq
0223U,416.78,Nfct ds 22 trgt sars-cov-2
0224U,51.43,Antibody sars-cov-2 titer(s)
0225U,416.78,Nfct ds dna&rna 21 sarscov2
0226U,42.28,Svnt sarscov2 elisa plsm srm
0227U,62.14,Rx asy prsmv 30+rx/metablt
0228U,173.03,Onc prst8 ma molec prfl alg
0229U,384.0,Bcat1&ikzf1 prmtr mthyln aly
0230U,301.35,Ar full sequence analysis
0231U,846.27,Cacna1a full gene analysis
0232U,274.83,Cstb full gene analysis
0233U,274.83,Fxn gene analysis
0234U,527.87,Mecp2 full gene analysis
0235U,600.0,Pten full gene analysis
0236U,602.7,Smn1&smn2 full gene analysis
0237U,584.9,Car ion chnlpthy gen seq pnl
0238U,584.9,Onc lnch syn gen dna seq aly
0239U,3500.0,Trgt gen seq alys pnl 311+
0242U,5000.0,Trgt gen seq alys pnl 55-74
0243U,64.41,Ob pe biochem assay pgf alg
0244U,3500.0,Onc solid orgn dna 257 genes
0245U,1266.07,Onc thyr mut alys 10 gen&37
0246U,720.0,Rbc dna gnotyp 16 bld groups
0247U,750.0,Ob prtrm brth ibp4 shbg meas
0248U,3033.86,Onc sphrd cell cul 12 rx pnl
0249U,2219.13,Onc brst alys 32 phsprtn alg
0250U,2919.6,Onc sld org neo dna 505 gene
0251U,17.27,Hepcidin-25 elisa serum/plsm
0252U,759.05,Ftl aneuploidy str alys dna
0253U,3159.42,Rprdtve med rna gen prfl 238
0254U,759.05,Reprdtve med alys 24 chrmsm
0255U,31.6,Andrology infertility assmt
0256U,159.95,Tma/tmao prfl ms/ms ur alg
0257U,712.47,Vlcad leuk nzm actv whl bld
0258U,3675.0,Ai psor mrna 50-100 gen alg
0259U,52.71,Neph ckd nuc mrs meas gfr
0260U,1263.53,Rare ds id opt genome mapg
0261U,2513.25,Onc clrct ca img alys w/ai
0262U,3200.0,Onc sld tum rt-pcr 7 gen
0263U,750.0,Neuro asd meas 16 c metblt
0264U,1263.53,Rare ds id opt genome mapg
0265U,5475.8,Rar do whl gn&mtcdrl dna als
0266U,3200.0,Unxpl cnst hrtbl do gn xprsn
0267U,6739.33,Rare do id opt gen mapg&seq
0268U,608.17,Hem ahus gen seq alys 15 gen
0269U,608.17,Hem aut dm cgen trmbctpna 22
0270U,608.17,Hem cgen coagj do 20 genes
0271U,608.17,Hem cgen neutropenia 24 gen
0272U,608.17,Hem genetic bld do 60 genes
0273U,608.17,Hem gen hyprfibrnlysis 8 gen
0274U,608.17,Hem gen pltlt do 62 genes
0275U,18.37,Hem heprn nduc trmbctpna srm
0276U,2448.56,Hem inh thrombocytopenia 42
0277U,608.17,Hem gen pltlt funcj do 40
0278U,608.17,Hem gen thrombosis 14 genes
0279U,11.53,Hem vw factor&clgn iii bndg
0280U,17.27,Hem vw factor&clgn iv bndg
0281U,17.27,Hem vwd propeptide ag lvl
0282U,720.0,Rbc dna gntyp 12 bld grp gen
0283U,18.4,Vw factor type 2b eval plsm
0284U,17.27,Vw factor type 2n eval plsm
0285U,443.31,Onc ds prog&rspse mntr radj
0286U,134.13,Cep72 nudt15&tpmt gene alys
0287U,3600.0,Onc thyr dna&mrna 112 genes
0288U,3873.0,Onc lung mrna quan pcr 11&3
0289U,760.0,Neuro alzheimer mrna 24 gen
0290U,760.0,Pain mgmt mrna gen xprsn 36
0291U,1755.0,Psyc mood do mrna 144 genes
0292U,1755.0,Psyc strs do mrna 72 genes
0293U,760.0,Psyc suicidal idea mrna 54
0294U,760.0,Lngvty&mrtlty rsk mrna 18gen
0295U,5435.0,Onc brst dux carc 7 proteins
0296U,1950.0,Onc orl&/orop ca 20 mlc feat
0297U,2919.6,Onc pan tum whl gen seq dna
0298U,2919.6,Onc pan tum whl trns seq rna
0299U,1863.22,Onc pan tum whl gen opt mapg
0300U,4183.13,Onc pan tum whl gen seq&opt
0301U,262.72,Iadna bartonella ddpcr
0302U,361.37,Iadna brtnla ddpcr flwg liq
0303U,2201.62,Hem rbc ads whl bld hypoxic
0304U,2075.8,Hem rbc ads whl bld normoxic
0305U,662.58,Hem rbc fnclty&dfrm shr strs
0306U,3878.45,Onc mrd nxt-gnrj alys 1st
0307U,794.49,Onc mrd nxt-gnrj alys sbsq
0308U,390.75,Crd cad alys 3 prtn 3 param
0309U,390.75,Crd cv ds aly 4 prtn plm alg
0310U,390.75,Ped vsclts kd alys 3 bmrks
0311U,8.08,Nfct ds bct quan antmcrb sc
0312U,840.65,Ai ds sle alys 8 igg autoant
0313U,3600.0,Onc pncrs dna&mrna seq 74
0314U,1950.0,Onc cutan mlnma mrna 35 gene
0315U,8500.0,Onc cutan sq cll ca mrna 40
0316U,18.66,B brgdrferi lyme ds ospa evl
0317U,2030.0,Onc lung ca 4-prb fish assay
0318U,1770.48,Ped whl gen mthyltn alys 50+
0319U,2650.0,Neph rna pretrnspl perph bld
0320U,2650.0,Neph rna psttrnspl perph bld
0321U,634.84,Iadna gu pthgn 20bct&fng org
0322U,750.0,Neuro asd meas 14 acyl carn
0323U,2126.2,Iadna cns pthgn next gen seq
0326U,5000.0,Trgt gen seq alys pnl 83+
0327U,795.0,Ftl aneuploidy trsmy dna seq
0328U,114.43,Drug assay 120+ rx&metablt
0329U,3437.98,Onc neo xome&trns seq alys
0330U,416.78,Iadna vag pthgn panel 27 org
0331U,1863.22,Onc hl neo opt gen mapping
0332U,1142.06,Onc pan tum gen prflg 8 dna
0333U,662.32,Onc lvr surveilanc hcc cfdna
0334U,3500.0,Onc sld orgn tgsa dna 84/+
0335U,5224.6,Rare ds whl gen seq feta
0336U,2574.65,Rare ds whl gen seq bld/slv
0337U,2435.0,Onc plsm cell do&myeloma id
0338U,2435.0,Onc sld tum crcg tum cl slct
0339U,760.0,Onc prst8 mrna hoxc6 & dlx1
0340U,3590.0,Onc pan ca alys mrd plasma
0341U,1900.2,Ftl aneup dna seq cmpr alys
0342U,897.0,Onc pncrtc ca mult ia eclia
0343U,760.0,Onc prst8 xom aly 442 sncrna
0344U,792.17,Hep nafld semiq evl 28 lipid
0345U,1336.09,Psyc genom alys pnl 15 gen
0347U,1336.09,Rx metab/pcx dna 16 gen alys
0348U,742.27,Rx metab/pcx dna 25 gen alys
0349U,742.27,Rx metab/pcx dna 27gen rx ia
0350U,1336.09,Rx metab/pcx dna 27 gen alys
0351U,260.5,Nfct ds bct/viral trail ip10
0355U,137.0,Apol1 risk variants
0356U,1800.0,Onc orop/anal 17 dna ddpcr
0358U,260.5,Neuro alys b-amyl 1-42&1-40
0359U,760.0,Onc prst8 ca alys all psa
0360U,840.65,Onc lung elisa 7 autoant alg
0362U,3600.0,Onc pap thyr ca rna 82&10
0363U,760.0,Onc urthl mrna 5 gen alg
0364U,2007.25,Onc hl neo gen seq alys alg
0365U,897.0,Onc bldr 10 ur hrbr urthl ca
0366U,897.0,Onc bldr 10 prb recr bldr ca
0367U,902.18,Onc bldr 10 flwg trurl rescj
0368U,416.78,Onc clrct ca mut&mthyltn mrk
0371U,416.78,Iadna gu pthgn semiq dna16&1
0372U,416.78,Nfct ds gu pthgn arg detcj
0375U,897.0,Onc ovrn bchm asy 7 prtn alg
0376U,706.25,Onc prst8 ca img alys 128
0377U,47.58,Cv ds quan advsrm/plsm lprtn
0378U,137.0,Rfc1 repeat xpnsj vrnt alys
0379U,3288.51,Tgsap sl or neo dna523&rna55
0381U,44.12,Maple syrup ur ds mntr quan
0382U,51.64,Hyprphenylalninmia mntr quan
0383U,52.05,Tyrosinemia typ i mntr quan
0384U,750.0,Neph ckd rsk hi stg kdn ds
0385U,390.75,Neph ckd alg rsk dbtc kdn ds
0387U,948.5,Onc mlnma ambra1&amlo
0388U,3500.0,Onc nonsm cll lng ca 37 gen
0389U,70.2,Ped fbrl kd ifi27&mcemp1 rna
0390U,64.41,Ob pe kdr eng&rbp4 ia alg
0391U,3600.0,Onc sld tum dna&rna 437 gen
0392U,1336.09,Rx metab genrx ia 16 genes
0393U,540.99,Neu prksn msfl a-syncln prtn
0394U,198.74,Pfas 16 pfas compnd lc ms/ms
0395U,797.45,Onc lng multiomics plsm alg
0398U,1755.0,Gi baret esph dna mthyln aly
0399U,300.0,Neuro cere folate defncy srm
0400U,1456.88,Ob xpnd car scr 145 genes
0401U,489.68,Crd c hrt ds 9 gen 12 vrnts
0402U,142.63,Nfct agt sti mult amp prb tq
0403U,760.0,Onc prst8 mrna 18 gen 1st ur
0404U,322.96,Onc brst semiq meas thym kn
0405U,1770.48,Onc pncrtc 59 mthltn blk mrk
0406U,760.0,Onc lung flow cytmtry 5 mrk
0407U,950.0,Neph dbtc ckd mult eclia alg
0408U,14.13,Iaad blk ac wv bsnsr sarscv2
0409U,2919.6,Onc sld tum dna 80 & rna 36
0410U,1160.0,Onc pncrtc dna whl gn seq 5-
0411U,1336.09,Psyc genom alys pnl 15 gen
0412U,750.0,Beta amyloid ab42/40 imprcip
0413U,1263.53,Onc hl neo opt gen mapg dna
0414U,706.25,Onc lng aug alg aly whl sld8
0415U,390.75,Cv ds acs bld alg 5 yr score
0417U,2842.53,Rare ds alys 335 nuc genes
0418U,706.25,Onc brst aug alg aly whl sl8
0419U,1336.09,Nrpsyc gen seq vrnt aly 13
0420U,1328.32,Onc urthl mrna xprsn 6 snp
0421U,508.87,Onc clrct scr sgl amp 8 rna
0422U,1943.21,Onc pan solid tum alys dna
0423U,416.78,Psyc genomic alys pnl 26 gen
0424U,760.0,Onc prst8 xom alys 53 sncrna
0425U,4094.39,Genom rpd seq alys ea cmprtr
0426U,7582.2,Genome ultra-rapid seq alys
0427U,4.48,Monocyte dstrbj wdth whl bld
0429U,35.09,Hpv orop swab 14 hi-risk typ
0430U,61.54,Gi malabs aat calpro pncrtc
0431U,36.57,Gly rcptr alpha1 igg srm/csf
0432U,36.57,Klhl11 antb sr/csf asy qual
0433U,760.0,Onc prst8 5 dna reg mrk pcr
0434U,416.78,Rx metab advrs vrnt alys 25
0435U,3033.86,Onc chemo rx cytox csc 14 rx
0436U,1504.24,Onc lng plsm alys 388 prtn
0437U,760.0,Psyc anxiety do mrna 15 bmrk
0438U,416.78,Rx metab advrs vrnt alys 33
0439U,854.0,Crd chd dna alys 5 snp 3 dna
0440U,854.0,Crd chd dna alys 10 snp 6dna
0441U,444.08,Nfct ds bct fngl/viral semiq
0442U,41.38,Nfct ds respir nfctj mxa&crp
0443U,116.23,Neurflmnt lt chn ultrsens ia
0444U,2919.6,Onc sld orgn neo tgsap 361
0445U,260.5,Abeta42 & ptau181 eclia csf
0446U,840.65,Ai ds sle alys 10 cytokine
0447U,840.65,Ai ds sle alys 11 cytokine
0449U,1824.88,Car scr sev inh cond 5 genes
0452U,192.0,Onc bldr mthyl penk lte-qmsp
0453U,192.0,Onc clrct ca cfdna qpcr asy
0454U,1263.53,Rare ds id opt genome mapg
0455U,142.63,Nfct agt sti mult amp prb ur
0457U,198.74,Pfas 9 cmpnd lcms/ms pls/sr
0458U,260.5,Onc brst ca s100 a8&a9 elisa
0459U,260.5,Abeta42 & ttau eclia csf
0460U,917.08,Onc whl bld/bucc rtpcr 24gen
0461U,917.08,Onc rxgenom alys rtpcr 24gen
0462U,17.27,Melatonin lvl tst slp std7/9
0463U,760.0,Onc crvx mrna genxprsn 14bmk
0464U,591.92,Onc clrct scr qrtsa dna mrk
0465U,1938.01,Onc urthl carc dna qmsp 2gen
0466U,345.43,Crd cad dna gwas 564856 snp
0467U,1519.06,Onc bldr dna ngs 60gen&aneup
0468U,251.7,Hep nash mir34a5p a2m ykl40
0469U,1197.94,Rare ds whl gen seq ftl samp
0470U,597.91,Onc orop detcj mrd 8 dna hpv
0471U,760.0,Onc clrc ca 35 vrn kras&nras
0472U,27.9,Ca vi psp&sp1 antb sjogren
0473U,4500.0,Onc sld tum bld/slv 648 gene
0474U,1303.95,Hered pan ca gsap 88gene ngs
0475U,1303.95,Hered prst8 ca gsap 23 genes
0476U,416.78,Rx metab psyc 14gen&cyp2d6
0477U,416.78,Rx metab psy 14&cyp2d6 gn-rx
0478U,552.99,Onc nsclc dna&rna dpcr 9gens
0479U,17.27,Tau phosphorylated ptau217
0480U,2126.2,Nfct ds csf metag ngs alys
0481U,674.24,Idh1 idh2&tert promoter ngs
0482U,128.82,Ob pe biochem asy sflt1&plgf
0483U,35.09,Nfct ds ng gyra s91f pt mut
0484U,35.09,Nfct ds mgen 23s rrna pt mut
0485U,3649.48,Onc sol tum cfdna&rna ngs gm
0486U,1644.25,Onc pan sol tum ngs cfctdna
0487U,2919.6,Onc sol tum cfcdna tgsap 84
0488U,759.05,Ob fetal ag nipt cfdna alys
0489U,1153.62,Ob sgnipt cfdna seq alys 1+
0490U,2435.0,Onc cutan/uveal mlnma cd146
0491U,2435.0,Onc sol tum ctc slct er prtn
0492U,2435.0,Onc sol tum ctc slctn pd-l1
0493U,2753.25,Trnspl med quan dd-cfdna ngs
0494U,759.05,Rbc ag ftl rhd gene alys ngs
0495U,760.0,Onc prst8 alys crcg plsm prt
0496U,485.86,Onc clrct cfdna 8/7 genes
0497U,3873.0,Onc prst8 mrna rt-pcr 6genes
0498U,1345.31,Onc clrct ngs mut detc 43gen
0499U,597.91,Onc clrct&lng dna ngs 8genes
0500U,175.4,Autoinflam ds vexas synd dna
0501U,192.0,Onc clrc bld quan meas cfdna
0502U,35.09,Hpv e6/e7 mrk hi-rsk typ crv
0503U,750.0,Neuro alz ds bamyl&tau prtn
0504U,416.78,Nfct ds uti id 17 path orgs
0505U,679.77,Nfct ds vag infctj id 32orgs
0506U,1938.01,Gi barretts esophgl cell 89
0507U,1160.0,Onc ovr dna whole gen w/5hmc
0510U,473.91,Onc pncrtc ca alg alys 16gen
0511U,3033.86,Onc sol tum 3dmicroenvir 36+
0512U,706.25,Onc prst8 alys dgtz img msi
0513U,706.25,Onc prst8 alg alys msi&hrd
0514U,38.57,Gi ibd ia quan deter adl lvl
0515U,38.57,Gi ibd ia quan deter ifx lvl
0516U,416.78,Rx metab rxgenomic gnotyp 40
0517U,246.92,Ther rx mntr 80+ psyactiv rx
0518U,246.92,Ther rx mntr 90+ pn&mtl hlth
0519U,246.92,Ther rx mntr meds p/d/a 110+
0520U,246.92,Ther rx mntr 200+ rx/sbsts
0521U,51.8,Rf iga&igm ccp antb sr-a ia
0522U,260.5,Ca vi psp&sp1 antb cl semiql
0523U,1352.09,Onc soltum dna ngs snv 22gen
0524U,128.82,Ob pe sflt-1/plgf ia srm/pls
0525U,3033.86,Onc sphrd cell cul 11-rx pnl
0527U,142.63,Hsv 1&2 vzv amp prb tq pthgn
0528U,634.84,Lrt iad 18bct/8vir&7arg rna
0530U,2919.6,Onc pan-sol tum ctdna 77 gen
0532U,5031.2,Rare ds whlgen&mitochdrl dna
0533U,416.78,Rx metab advrs gnotyp 16gens
0535U,62.14,Pfas lc-ms/ms plsm/srm quan
0536U,192.0,Rbcag ftl rhd pcr alys exon4
0537U,1495.0,Onc clrct ca cfdna >2500 dmr
0538U,2989.55,Onc sol tum ngts ffpe 600gen
0539U,3288.51,Onc sol tumor cfctdna 152gen
0540U,2753.25,Trnsplj med quan dd-cfdna
0543U,2989.55,Onc sol tum ngs dna 517 gens
0545U,37.73,Achr antb id imfluor livecll
0546U,37.73,Ldns lrp4 antb imflr livecll
0547U,116.23,Neurflmnt lt chn cleia plsm
0548U,116.23,Gfap cleia plasma
0549U,760.0,Onc urthl dna mthyltd rt pcr
0553U,759.05,Repr med pga embry te strux
0554U,759.05,Repr med pga 24chrm te bx qc
0555U,759.05,Repr med pga embryonic te qc
0556U,142.63,Nfct ds p-s dna&rna 12 trgts
0557U,262.99,Nfct ds bv dna mrk vag fluid
0558U,20.81,Onc clrct elisa bf7 ag serum
0559U,20.81,Onc brs quan elisa bf9ag srm
0560U,3878.45,Onc mrd gsa cfdna baseline
0561U,794.49,Onc mrd gsa cfdna subsequent
0562U,597.91,Onc sol tum tgsa 33gens snvs
0563U,416.78,Nfct ds pthgn-sna 11vir&4bct
0564U,416.78,Nfct ds pthgn-sna 10vir&4bct
0565U,1160.0,Onc hcc ngs detc 6626epigalt
0566U,416.78,Onc lng qpcr-bsd alys 13dmrs
0567U,5031.2,Rare ds whl gen seq srs&lrs
0568U,897.0,Neurol dementia bamyl ptau
0570U,260.5,Neurol tbi alys gfap&uch-l1
0571U,2919.6,Onc sol tum dna80&rna10g ngs
0575U,380.0,Trnsplj med lar rtpcr 4genes
0576U,3240.0,Trnsplj med lar quan ddcfdna
0577U,246.92,Onc ovr serum alys 39 gps
0578U,3873.0,Onc cutan mln rna qpcr 10gen
0579U,390.75,Nfro dbtc ckd elisa apoa4
0580U,17.21,Bbrgdrferi antb detc 24rprtn
0581U,325.8,Trnspl med antb nohla 39trgt
0582U,7582.2,Rare ds rpd whlgen dna vrnts
0583U,3791.1,Rare ds rpd whlgen cmptr dna
0584U,540.99,Neuro csf prion prtn qual
0585U,2919.6,Tgsap so neo cfdna 521 genes
0586U,2919.6,Onc mrna gen xprsn 216 genes
0587U,114.43,Ther rx mntr 60150rx&metabl
0588U,760.0,Nfct ds bct/vir 32genes mrna
0589U,198.74,Pfas24cmpnd hiperf lc-ms/ms
0591U,760.0,Onc prst8 ca 3prtns plsm srm
0592U,2919.6,Onc hl neo dna tgs 417 genes
0593U,634.84,Nfct ds gu pthgn dna 46trgt
0595U,262.99,Nfct ds tfp vctrbrn&zoonotic
0598U,300.0,Gi ibs igg antb 18food items
0599U,897.0,Onc pncrtc ca mult ia serum
36415,9.34,Coll venous bld venipuncture
78267,11.06,Urea breath tst c-14 acquisj
78268,94.41,Urea breath test c-14 alys
80047,13.73,Basic metablc pnl ionized ca
80048,8.46,Basic metabolic pnl total ca
80051,7.01,Electrolyte panel
80053,10.56,Comprehen metabolic panel
80055,47.81,Obstetric panel
80061,13.39,Lipid panel
80069,8.68,Renal function panel
80074,47.63,Acute hepatitis panel
80076,8.17,Hepatic function panel
80081,74.86,Obstetric panel inc hiv tstg
80143,18.64,Drug assay acetaminophen
80145,38.57,Drug assay adalimumab
80150,15.08,Assay of amikacin
80151,18.64,Drug assay amiodarone
80155,38.57,Drug assay caffeine
80156,14.57,Assay carbamazepine total
80157,13.25,Assay carbamazepine free
80158,18.05,Drug assay cyclosporine
